track_id,poet,lyrics,lyrics source,disc_number,duration_ms,explicit,track_name,track_name_farsi,artist_name,artist_name_farsi,popularity,track_number,album_href,album_id,album_name,album_release_date,album_total_tracks,album_release_year,track_href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode,artist_id,lyrics,poet,lyric source,genre
5zEGQyDjWIILPgdzg9Ktke,NA,NA,NA,1,403680,FALSE,Song of Lantern,NA,Salar Aghili,سالار عقیلی,NA,2,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/5zEGQyDjWIILPgdzg9Ktke,0.42,0.244,2,-11.514,0,0.0498,0.883,0.00291,0.102,0.15,139.869,4,D,minor,D minor,NA,,,,
0vdmNlTPWeluowL9KmmnmT,NA,NA,NA,1,245640,FALSE,Dream Image,NA,Salar Aghili,سالار عقیلی,NA,3,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/0vdmNlTPWeluowL9KmmnmT,0.364,0.307,4,-9.193,0,0.0434,0.683,2.96E-05,0.0935,0.416,149.645,3,E,minor,E minor,NA,,,,
4i1j009Sbuczs35TaTjQRM,NA,NA,NA,1,94680,FALSE,A Prelude to Migration,NA,Salar Aghili,سالار عقیلی,NA,4,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/4i1j009Sbuczs35TaTjQRM,0.449,0.253,4,-11.218,0,0.0285,0.671,0.817,0.273,0.492,90.183,3,E,minor,E minor,NA,,,,
7yFGloJTAFfX1RYRlXbtxo,NA,NA,NA,1,235720,FALSE,Migration,NA,Salar Aghili,سالار عقیلی,NA,5,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/7yFGloJTAFfX1RYRlXbtxo,0.319,0.264,7,-7.838,0,0.04,0.847,2.58E-04,0.133,0.211,104.612,3,G,minor,G minor,NA,,,,
0lQJJ05Hv9ZOxyH67mGKDT,NA,NA,NA,1,137720,FALSE,Solo Kamancheh,NA,Salar Aghili,سالار عقیلی,NA,6,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/0lQJJ05Hv9ZOxyH67mGKDT,0.373,0.18,2,-14.37,0,0.0668,0.985,0.94,0.0864,0.153,79.781,1,D,minor,D minor,NA,,,,
1W5qWl23cEog7nxbysrdxp,NA,NA,NA,1,306840,FALSE,Chaotic Night,NA,Salar Aghili,سالار عقیلی,NA,7,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/1W5qWl23cEog7nxbysrdxp,0.343,0.313,0,-6.023,0,0.0382,0.869,6.38E-05,0.36,0.413,73.174,3,C,minor,C minor,NA,,,,
24pXk4CwPkf5icr35QoPjE,NA,NA,NA,1,285200,FALSE,Gone Wave,NA,Salar Aghili,سالار عقیلی,NA,8,NA,25RKw0R0ToNdTVgY44Qv7f,The Last Word,2019-03-18,NA,2019,https://api.spotify.com/v1/tracks/24pXk4CwPkf5icr35QoPjE,0.302,0.401,7,-6.056,0,0.0376,0.763,6.72E-04,0.332,0.186,82.372,4,G,minor,G minor,NA,,,,
3HhbcUNJPhNrSr0XfGZOy9,NA,NA,NA,1,268613,FALSE,Negare Man (Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,1,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/3HhbcUNJPhNrSr0XfGZOy9,0.38,0.494,11,-4.14,0,0.0673,0.892,5.70E-04,0.376,0.51,171.897,3,B,minor,B minor,NA,,,,
5OtN8Gsl1FUdZzsWFFgUkx,NA,NA,NA,1,130186,FALSE,Taknavazie Setar,NA,Salar Aghili,سالار عقیلی,NA,2,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/5OtN8Gsl1FUdZzsWFFgUkx,0.395,0.295,6,-9.756,1,0.0742,0.857,0.0473,0.128,0.385,80.532,3,F#,major,F# major,NA,,,,
1Wauf5TNhoqQEBD3i4qnVl,NA,NA,NA,1,369186,FALSE,Zolfe Delband (Chahar Mezrab Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,3,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/1Wauf5TNhoqQEBD3i4qnVl,0.337,0.545,6,-5.162,1,0.0464,0.866,0.102,0.114,0.348,72.053,4,F#,major,F# major,NA,,,,
0a7NDzTKDlQmYXDG1PXn6w,NA,NA,NA,1,128120,FALSE,Taknavazie Barbat,NA,Salar Aghili,سالار عقیلی,NA,4,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/0a7NDzTKDlQmYXDG1PXn6w,0.39,0.395,11,-8.895,1,0.0657,0.899,0.81,0.0935,0.393,96.156,4,B,major,B major,NA,,,,
0lZVOyTgp23GvMO6Htgg1D,NA,NA,NA,1,517306,FALSE,Simin (Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,5,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/0lZVOyTgp23GvMO6Htgg1D,0.482,0.327,11,-5.74,1,0.0368,0.925,3.45E-05,0.145,0.306,69.071,3,B,major,B major,NA,,,,
0QYDIOTuYesEP2SYS83A2f,NA,NA,NA,1,134666,FALSE,Taknavazie Kamancheh,NA,Salar Aghili,سالار عقیلی,NA,6,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/0QYDIOTuYesEP2SYS83A2f,0.47,0.16,11,-8.13,1,0.0551,0.991,0.974,0.123,0.28,74.735,4,B,major,B major,NA,,,,
4CEKy4jM0eomYjQkmLLX69,NA,NA,NA,1,236093,FALSE,Gisoo Kamand (Tasnif Chahargah),NA,Salar Aghili,سالار عقیلی,NA,7,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/4CEKy4jM0eomYjQkmLLX69,0.618,0.59,11,-4.512,1,0.0392,0.802,0.0121,0.23,0.382,133.941,5,B,major,B major,NA,,,,
54v9tiBm47icykBHUS8Irb,NA,NA,NA,1,273080,FALSE,Solo Setar,NA,Salar Aghili,سالار عقیلی,NA,8,NA,6DC35Ey7EqQk6bwCF0B9G8,Saadi Nameh,2018-08-25,NA,2018,https://api.spotify.com/v1/tracks/54v9tiBm47icykBHUS8Irb,0.413,0.322,4,-8.554,0,0.0695,0.968,0.797,0.0953,0.17,124.998,3,E,minor,E minor,NA,,,,
