X1,word,lang,poet,century,text
3548,نجیب,ar,مهدی اخوان ثالث,14,نجیب
9063,طهوری,ar,مهدی اخوان ثالث,14,طهوری
3564,می‌فشاندم,fa,مهدی اخوان ثالث,14,می‌فشاندم
2855,ست,fa,مهدی اخوان ثالث,14,ست
11685,تغنی,ar,مهدی اخوان ثالث,14,تغنی
18309,تنگنای,fa,مهدی اخوان ثالث,14,تنگنای
12205,عمر,ar,مهدی اخوان ثالث,14,عمر
9980,داغی,fa,مهدی اخوان ثالث,14,داغی
4349,مزبل,fa,مهدی اخوان ثالث,14,مزبل
883,زرین,fa,مهدی اخوان ثالث,14,زرین
443,غبار,fa,مهدی اخوان ثالث,14,غبار
14936,دل‌ها,fa,مهدی اخوان ثالث,14,دل‌ها
2096,شب‌های,fa,مهدی اخوان ثالث,14,شب‌های
9653,سحر,ar,مهدی اخوان ثالث,14,سحر
15402,دنیا،,fa,مهدی اخوان ثالث,14,دنیا،
14807,چشم,fa,مهدی اخوان ثالث,14,چشم
5123,سردار,fa,مهدی اخوان ثالث,14,سردار
2307,ساحل؟,ar,مهدی اخوان ثالث,14,ساحل؟
3961,کی!,fa,مهدی اخوان ثالث,14,کی!
11707,می‌آمدم,fa,مهدی اخوان ثالث,14,می‌آمدم
12275,سرگذشت,fa,مهدی اخوان ثالث,14,سرگذشت
16319,چار,fa,مهدی اخوان ثالث,14,چار
3485,سکوتی,fa,مهدی اخوان ثالث,14,سکوتی
14472,ورنه,fa,مهدی اخوان ثالث,14,ورنه
11838,روح,ar,مهدی اخوان ثالث,14,روح
16990,پاکی،,fa,مهدی اخوان ثالث,14,پاکی،
17856,نکرد،,fa,مهدی اخوان ثالث,14,نکرد،
6540,خانه،,fa,مهدی اخوان ثالث,14,خانه،
17096,نمی‌خواهد,fa,مهدی اخوان ثالث,14,نمی‌خواهد
8293,وز,fa,مهدی اخوان ثالث,14,وز
12288,سقایکم،,ar,مهدی اخوان ثالث,14,سقایکم،
9303,یک‌شب,fa,مهدی اخوان ثالث,14,یک‌شب
12204,حاصل,ar,مهدی اخوان ثالث,14,حاصل
6401,شباهت,fa,مهدی اخوان ثالث,14,شباهت
16996,غنوده,fa,مهدی اخوان ثالث,14,غنوده
11720,قدم,ar,مهدی اخوان ثالث,14,قدم
1983,نفریبد,ar,مهدی اخوان ثالث,14,نفریبد
13803,دلی,fa,مهدی اخوان ثالث,14,دلی
14952,زمستان,fa,مهدی اخوان ثالث,14,زمستان
16717,بیرون،,ar,مهدی اخوان ثالث,14,بیرون،
13953,فریاد!,fa,مهدی اخوان ثالث,14,فریاد!
10582,زردش,fa,مهدی اخوان ثالث,14,زردش
17592,صیاد،,ar,مهدی اخوان ثالث,14,صیاد،
7451,بال,ar,مهدی اخوان ثالث,14,بال
9079,فغان,ar,مهدی اخوان ثالث,14,فغان
6695,درود,fa,مهدی اخوان ثالث,14,درود
18342,درخشنده,fa,مهدی اخوان ثالث,14,درخشنده
274,اندوه,fa,مهدی اخوان ثالث,14,اندوه
7347,می‌خوانید؟,fa,مهدی اخوان ثالث,14,می‌خوانید؟
968,اندوه,fa,مهدی اخوان ثالث,14,اندوه
17448,خورشید,fa,مهدی اخوان ثالث,14,خورشید
18352,چشمش,fa,مهدی اخوان ثالث,14,چشمش
4696,آنرویم,fa,مهدی اخوان ثالث,14,آنرویم
3982,شهری,fa,مهدی اخوان ثالث,14,شهری
13399,روزن,fa,مهدی اخوان ثالث,14,روزن
18047,دلیر,fa,مهدی اخوان ثالث,14,دلیر
3240,من،,ar,مهدی اخوان ثالث,14,من،
6977,زارون,fa,مهدی اخوان ثالث,14,زارون
11574,منزه,ar,مهدی اخوان ثالث,14,منزه
1937,موهوم,ar,مهدی اخوان ثالث,14,موهوم
442,روزگارانی,fa,مهدی اخوان ثالث,14,روزگارانی
1401,دل،,fa,مهدی اخوان ثالث,14,دل،
4879,خورده,fa,مهدی اخوان ثالث,14,خورده
17669,نفس,ar,مهدی اخوان ثالث,14,نفس
3904,‌مسکین,fa,مهدی اخوان ثالث,14,‌مسکین
